x1,; x2,; x3,; x4,; x5,; x6,; x7,; x8,; x9,; x10,; x11,; x12,; x13,; x14,; x15,; x16,; x17,; x18,; x19,; x20,; x21,; x22,; x23,; x24,; x25,; x26,; x27,; x28,; x29,; x30,; x31,; x32,; x33,; x34,; x35,; x36,; x37,; x38,; x39,; x40,; x41,; x42,; x43,; x44,; x45,; x46,; x47,; x48,; x49,; x50,; x51,; x52,; x53,; x54,; x55,; x56,; x57,; x58,; x59,; x60,; x61,; x62,; x63,; x64,; x65,; x66,; x67,; x68,; x69,; x70,; x71,; x72,; x73,; x74,; x75,; x76,; x77,; x78,; x79,; x80,; x81,; x82,; x83,; x84,; x85,; x86,; x87,; x88,; x89,; x90,; x91,; x92,; x93,; x94,; x95,; x96,; x97,; x98,; x99,; x100,; x101,; x102,; x103,; x104,; x105,; x106,; x107,; x108,; x109,; x110,; x111,; x112,; x113,; x114,; x115,; x116,; x117,; x118,; x119,; x120,; y,; 
1,2931;1,293425;1,293385;1,293335;1,293845;1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29551; 
 1,293425;1,293385;1,293335;1,293845;1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,295515; 
 1,293385;1,293335;1,293845;1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,295575; 
 1,293335;1,293845;1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,295595; 
 1,293845;1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,29562; 
 1,294165;1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,2953;1,295645; 
 1,29412;1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,2953;1,295365;1,29562; 
 1,294015;1,294175;1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,2953;1,295365;1,29511;1,295835; 
 1,29422;1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,2953;1,295365;1,29511;1,294945;1,295005;1,29581; 
 1,294305;1,29424;1,29429;1,29419;1,2941;1,294235;1,29424;1,29422;1,29419;1,29422;1,294215;1,29421;1,294215;1,29403;1,29399;1,294145;1,29426;1,294285;1,29438;1,294395;1,294275;1,29426;1,29412;1,294105;1,29415;1,294175;1,294385;1,29411;1,29416;1,2942;1,2943;1,29435;1,294105;1,29397;1,293925;1,29391;1,294095;1,294095;1,294115;1,294185;1,294305;1,29426;1,29415;1,294135;1,294075;1,294075;1,294135;1,294095;1,293935;1,29381;1,293835;1,29431;1,294595;1,294565;1,29462;1,29473;1,2946;1,294595;1,29473;1,29495;1,29465;1,294605;1,294605;1,29462;1,29467;1,29475;1,29498;1,295115;1,295055;1,29516;1,29506;1,29468;1,294705;1,29486;1,294945;1,29515;1,29502;1,29495;1,29499;1,29495;1,294975;1,294885;1,295005;1,29505;1,29502;1,294875;1,29467;1,29459;1,294525;1,29447;1,294345;1,29419;1,29412;1,29437;1,29441;1,294435;1,294415;1,294585;1,294655;1,294535;1,294515;1,29465;1,294625;1,294605;1,294575;1,29456;1,29459;1,294515;1,294095;1,295465;1,29628;1,29618;1,296;1,29565;1,2953;1,295365;1,29511;1,294945;1,295005;1,295045;1,29578; 
